Date,TransactionID,Quantity,UnitPrice,StoreLocation,PaymentType,DeliveryTime_min,OrderType,DayOfWeek,TotalSales,CustomerID,StaffID,WeatherID,ProductID
2023-01-01 00:00:00,1,2,12.532304149429804,South,Cash,30,In Store,Sunday,25.064608298859607,1,1,1,1
2023-01-01 01:00:00,2,1,7.083069895947755,South,Cash,33,In Store,Sunday,7.083069895947755,2,2,2,2
2023-01-01 02:00:00,3,5,6.736064100180581,North,Cash,43,Phone Order,Sunday,33.68032050090291,3,3,3,3
2023-01-01 03:00:00,4,2,7.314823479246191,North,Cash,32,Online Order,Sunday,14.629646958492382,4,4,4,4
2023-01-01 04:00:00,5,1,7.577727219906418,East,Credit Card,58,In Store,Sunday,7.577727219906418,5,5,5,5
2023-01-01 05:00:00,6,2,14.568156389954508,West,Cash,30,Phone Order,Sunday,29.136312779909016,6,6,3,6
2023-01-01 06:00:00,7,3,16.114718754118677,North,Credit Card,15,In Store,Sunday,48.34415626235603,7,7,6,2
2023-01-01 07:00:00,8,5,12.94987284389628,West,Online,16,Online Order,Sunday,64.74936421948141,8,8,7,4
2023-01-01 08:00:00,9,4,17.435265988182366,East,Cash,29,Phone Order,Sunday,69.74106395272946,9,9,3,7
2023-01-01 09:00:00,10,2,19.8689484010045,West,Credit Card,53,In Store,Sunday,39.737896802009,10,10,8,8
2023-01-01 10:00:00,11,3,17.30018943679034,South,Online,42,In Store,Sunday,51.90056831037102,11,11,9,9
2023-01-01 11:00:00,12,4,15.423235605139388,West,Online,15,In Store,Sunday,61.69294242055755,12,12,10,4
2023-01-01 12:00:00,13,4,12.9873904915572,East,Online,19,Online Order,Sunday,51.9495619662288,13,13,11,10
2023-01-01 13:00:00,14,2,11.732796075120625,East,Credit Card,56,Phone Order,Sunday,23.46559215024125,14,14,12,11
2023-01-01 14:00:00,15,1,6.265885708168135,East,Cash,36,Phone Order,Sunday,6.265885708168135,15,15,13,12
2023-01-01 15:00:00,16,2,10.990531225920364,West,Cash,50,Phone Order,Sunday,21.981062451840728,16,16,14,3
2023-01-01 16:00:00,17,3,18.65201955173201,South,Credit Card,27,In Store,Sunday,55.956058655196045,17,17,15,13
2023-01-01 17:00:00,18,4,17.120339448598294,North,Cash,15,Phone Order,Sunday,68.48135779439318,18,18,16,14
2023-01-01 18:00:00,19,2,8.240770475175308,South,Credit Card,30,In Store,Sunday,16.481540950350617,19,19,17,7
